"value,metaphor_family,visual_description,notes"
"Acceptance,OF,soft ripple rings,calm concentric waves"
"Accessibility,GS,open arc doorway,wide welcoming shape"
"Accomplishment,EM,upward spark,small radiant lift"
"Accountability,GS,strong vertical line,firm boundary"
"Accuracy,GS,fine grid,precise evenly spaced lines"
"Achievement,EM,rising diagonal,clean upward motion"
"Activeness,EM,motion lines,fast directional strokes"
"Adaptability,OF,bending branch,organic curve"
"Adventure,OF,winding path,loose exploratory line"
"Aesthetics,PM,colour field,soft blended gradient"
"Agility,GS,sharp triangle,light quick geometry"
"Ambition,EM,radiant burst,energetic outward rays"
"Appreciation,OF,gentle leaf,soft organic silhouette"
"Assertiveness,GS,bold vertical bar,strong presence"
"Authenticity,PM,raw brush stroke,textured imperfect mark"
"Awareness,OF,concentric circles,expanding perception"
"Balance,GS,two equal shapes,symmetry and stability"
"Beauty,PM,soft gradient,subtle colour fade"
"Boldness,EM,sharp spark,decisive energy"
"Bravery,EM,forward streak,leaning diagonal"
"Brilliance,EM,radiant halo,glow effect"
"Calmness,OF,smooth wave,slow gentle curve"
"Celebration,EM,confetti dots,scattered bright circles"
"Change,OF,morphing shape,transition between forms"
"Charity,OF,open hands shape,cupped organic form"
"Cheerfulness,PM,bright colour splash,playful irregular shape"
"Clarity,GS,clean circle,unbroken outline"
"Cleverness,GS,unexpected angle,tilted geometric form"
"Collaboration,GS,overlapping shapes,shared space"
"Commitment,GS,linked bars,connection and promise"
"Community,OF,clustered pebbles,group belonging"
"Compassion,OF,soft petal shapes,gentle layered forms"
"Competence,GS,stacked rectangles,solid foundation"
"Confidence,GS,ascending steps,steady rise"
"Conformity,GS,repeating pattern,uniformity"
"Connection,OF,intertwined lines,relational weaving"
"Consistency,GS,even stripes,repetition and rhythm"
"Contentment,OF,resting stone,grounded oval"
"Cooperation,GS,paired arcs,working together"
"Courage,EM,forward flare,bold directional energy"
"Creativity,PM,ink bleed,expressive organic spread"
"Curiosity,OF,spiral line,open exploration"
"Daring,EM,angled slash,sharp decisive mark"
"Decisiveness,GS,clean split line,clear choice"
"Dignity,GS,tall pillar,strong vertical form"
"Directness,GS,straight line,no deviation"
"Discipline,GS,parallel lines,structure and order"
"Discovery,OF,uncovered circle,revealed shape"
"Diversity,OF,varied organic shapes,mixed forms"
"Drive,EM,forward streak cluster,momentum"
"Duty,GS,solid block,weight and responsibility"
"Education,GS,stepped grid,learning progression"
"Efficiency,GS,streamlined shape,minimal friction"
"Empathy,OF,overlapping curves,shared emotional space"
"Energy,EM,bursting arc,vibrant motion"
"Entertainment,PM,playful brush flick,light movement"
"Equality,GS,balanced bars,evenness"
"Excellence,GS,refined diamond,precision and care"
"Expertise,GS,layered grid,depth of knowledge"
"Expression,PM,wide brush stroke,emotional release"
"Fairness,GS,balanced scales abstract,two equal forms"
"Faith,OF,ascending curve,trusting rise"
"Family,OF,clustered circles,belonging"
"Femininity,OF,soft petal cluster,graceful organic form"
"Fulfilment,OF,full circle,wholeness"
"Fierceness,EM,sharp flame shape,intensity"
"Financial Stability,GS,stacked blocks,foundation"
"Flexibility,OF,bending reed shape,adaptable curve"
"Focus,GS,spotlight circle,attention centre"
"Forgiveness,OF,open loop,release"
"Frankness,GS,unbroken line,plain truth"
"Freedom,OF,open horizon arc,spaciousness"
"Friendship,OF,paired circles,togetherness"
"Fun,PM,playful splatter,joy"
"Generosity,OF,open arc bowl,giving"
"Gratitude,OF,small radiance,quiet glow"
"Growth,OF,seed sprout,emergence"
"Happiness,PM,bright colour dot,joy point"
"Harmony,OF,interlocking curves,coherence"
"Health,OF,strong leaf,wellbeing"
"Heroism,EM,ascending flare,courage"
"Honour,GS,shield shape,integrity"
"Making a Difference,EM,impact ripple,change outward"
"Home,OF,nested shapes,safety"
"Honesty,GS,clear line,truth"
"Hopefulness,OF,upward arc,optimism"
"Hospitality,OF,open semicircle,welcome"
"Humility,OF,small stone,groundedness"
"Humor,PM,playful loop,lightness"
"Initiative,EM,first stroke,starting energy"
"Integrity,GS,aligned bars,consistency"
