Item,Type,Summary,Voice vs Current Style Guide,Fit vs Current Program Status,Verdict,Salvageable Material (use these lines/beats),Recommended Action
Manufactured urgency,Cross-cutting finding,"Email 5 (""Your calling is calling..."") closes on ""spots almost closed,"" ""only have a couple of spots left,"" ""when they're gone, they're gone.""","Directly matches the anti-pattern Diagnostic_Tool_Build_Notes.md explicitly names and rejects: ""closing on urgency, not agency"" is listed as the part of that structure that is NOT reusable.",N/A — this is a documented brand guardrail now, not a judgment call.,Retire this mechanic entirely,None,Never reuse scarcity/countdown framing in any track's sequence. Flag it as a concrete 'before' example if training anyone else on the current voice.
Exclamation marks / emoji / checkmarks,Cross-cutting finding,"Heavy use throughout: ""ARE YOU SERIOUS?!"", ❤️, ✅ bullet lists, exclamation marks on nearly every email.","STYLE_GUIDE.md §06: ""Exclamation marks: no. If it isn't exciting, punctuation won't fix it."" §09 also bans emoji as decoration and AI-style enthusiasm.",N/A,Retire formatting entirely,None,Any salvaged copy needs a full punctuation/formatting pass before reuse — not just a content edit.
Single universal funnel,Cross-cutting finding,"All 7 emails point everyone to one generic ""Why Workshop"" — no audience split.",N/A,"Program has since forked into 4 tracks (Come Home to Yourself, Regional Business Leader, Design-Led Practitioner, Design-Led Leader), each with its own diagnostic and 6-email arc per Kit_Email_Content_Strategy.md.",Structurally obsolete as a sequence shape,None — the shape, not the content,"Don't reuse the 7-email structure itself — the track-specific sequences already drafted in Kit_Email_Content_Strategy.md are the real replacement. But individual story beats from 2/3/4 can be dropped into whichever track's sequence fits."
Lead magnet — The Balance Book,Cross-cutting finding,"Old lead magnet (linked by user): Golden Rules of Balance, boundaries content, a values scan, ""design your balance"" exercise.",Formatting/tagline dated (""brave, bold and brilliant"" close, 2021 disclaimer boilerplate) but the thinking underneath is not off-brand.,"Maps directly onto current D2M modules: Values in Practice (02), Energy & Capacity (04), Life Systems (05), Boundaries & Emotional Labour (09).",Concept-level continuity, not a false start,"The values scan (pick + rank top 10 values), the ""art of no"" boundary scripts, and the yes/no-by-life-area exercise are all direct ancestors of live D2M content.","No need to resurrect the PDF itself — but worth knowing this thinking already evolved into the current curriculum rather than starting from nothing. Could be referenced as 'early Frankly Human thinking' in a founder-story post if ever useful."
Achievement-flex endings,Cross-cutting finding,"Emails 2 and 4 (not 3) resolve on salary tripling, ""CEO and change maker,"" named income figures, lifestyle-flex bullet lists (""babycino time"").","Contradicts D2M's 'understood, not fixed' positioning — reads as the hustle-culture voice the brand has since deliberately moved away from.",D2M audience per STYLE_GUIDE.md §03 needs to feel understood and given tools — not sold an aspirational income outcome.,Drop the endings only — the setups are good,See individual email rows below,"Note the sequence contradicts itself here: Email 3 explicitly says ""it wasn't salary or job title,"" which is the on-brand resolution — use that one, not Email 2's ending."
Real Maffra address,Cross-cutting finding,"Email 7's footer lists a real address: 83 Carpenter St, Maffra VIC 3860.",N/A,"Confirms genuine, long-standing local roots — a real asset for Regional Business Leader Day credibility (""I'm not parachuting in, I live here"").",Reusable — currently unused,The address itself, as a credibility line,Worth a line in Maffra_Day_Announcement.md; this hasn't been used as a credibility signal in the current draft.
Unlabelled testimonials,Cross-cutting finding,"""Cath"" and ""Kate"" are quoted by first name only, with no context on what changed for them or whether they'd consent to reuse today.",N/A,"Diagnostic_Tool_Build_Notes.md's honesty guardrails favour real, attributable results over vague ""kind words"" framing.",Needs revalidation before any reuse,N/A,"Reconfirm consent and currency with Cath/Kate directly, or replace with fresh testimonials from the current program if unreachable."
Email 1 — Welcome to Frankly Human,Email review,"Intro + lead magnet delivery + generic Why Workshop pitch, single-track, casual ""haha"" tone.","Friendly but pre-dates the backbone/clarity discipline — no sharp point, no real question.",Doesn't route to a specific track — everyone gets the same email regardless of what brought them in.,Rewrite — keep the welcome structure only,None distinct from the rest of the sequence,"Already superseded: Kit_Email_Content_Strategy.md's Email 1 for Come Home to Yourself and Email 1 for Regional Business Leader are the correct, already-drafted replacements."
Email 2 — Runway to runaway success,Email review,"Founder origin story (divorce, debt, career pivot), resolves on tripled salary and ""CEO and change maker,"" Cath testimonial.","Opening scene is strong and on-brand; only the achievement-flex ending is off-brand.",No track-specific angle — written for the old single-funnel model.,Mine substantially — swap the ending only,"""I laid in bed. It was 6am. And I really didn't want to move."" / ""All my energy going to meeting their needs before they even knew they needed that thing. I didn't stop long enough to know what I actually needed myself."" / the ""runway taxi"" metaphor — an original, ownable image worth keeping, same move as naming ""Silent Expert"" in Design-Led.","Reuse the scene and the runway-taxi metaphor as-is in a Come Home to Yourself email; replace the ""tripled my salary / CEO"" ending with Email 3's ""it wasn't salary or job title"" resolution, or with current D2M language (""a life that's actually mine"")."
Email 3 — A lightbulb moment,Email review,"""Right steps in the right order"" / job-search framing, sent to a real named lead (Caroline), duplicated 3x in the thread.","The core insight and its resolution are actually on-brand — better than Email 2's ending.","Job-application scene is audience-narrow (literally job-hunting), but the underlying insight generalizes well beyond that.",Mine substantially,"""I was on the right track with my commitment to 'making' but I still wasn't 'making' the right things or doing them in the right order."" / ""It wasn't salary or job title!"" — genuinely on-brand and worth keeping as-is.","Use the ""right things, right order"" framing broadly — it's close to the current ""draft, not destination"" thesis. If the job-search scene is too narrow for the intended track, swap it for a more general ""spinning your wheels"" scene but keep the insight and the salary/job-title line. Separately: the triplicate send looks like an old automation bug — worth a QA check, not a content note."
Email 4 — Purpose perks,Email review,"""ARE YOU SERIOUS?!"" hook, lifestyle-flex bullet list, Kate testimonial, old ""brave, bold, brilliant"" tagline.","Needed the lightest edit of 2/3/4 — most of the substance under the hype opener already matches the current voice.","Tagline (""brave, bold, brilliant"") has been fully replaced, but the reframe underneath hasn't dated.",Mine substantially — drop the opener and bullet list only,"""Are you able to say no to some things, so that you can say yes to the things you care deeply about?"" (a real debrief-style question, Pattern 6-ready) / ""It's not only about earning plenty of money... it's about living where I want to live, resting when I need a break, spending time with friends and family and... just having choices.""","Strip the ""ARE YOU SERIOUS?!"" opener and the ""babycino time"" lifestyle list; the question and the choice/agency reframe are close to publishable as-is once exclamation marks are removed."
Email 5 — Your calling is calling...,Email review,"Scarcity close — ""spots almost closed,"" ""when they're gone, they're gone.""",Already covered above as the sharpest cross-cutting anti-pattern example in the whole sequence.,N/A,Retire,None,See the manufactured-urgency finding at the top of this sheet.
Email 6 — FREE Masterclass invite,Email review,"Logistics + registration ask, ✅ checkmark benefit list, manual ""hit reply to register"" mechanic.","Mostly neutral/functional — checkmarks are the main tell, otherwise low-risk.","Content (what you'll leave with) maps cleanly to STYLE_GUIDE.md §08's Programme description structure (claim → who it's for → what you leave able to do → format note).",Adapt — good bones,The three ""come away with"" outcome bullets — solid content, just needs checkmarks removed,"Rebuild the registration step through the native Kit form pattern in Kit_Signup_Form_Spec.md instead of reply-to-register; swap the checkmark list for plain sentences per the style guide."
Email 7 — Seeya in the Why Workshop,Email review,"Short confirmation email — event details, low content risk.",Closest to current tone already of all seven emails.,Reusable almost as-is.,Adapt lightly,Nearly the whole email,"Remove the heart emoji, tighten slightly, and keep as the confirmation-email template for any track's live-session bookings (Maffra Day, Design-Led cohort calls, etc.)."
Overall recommendation,Summary,N/A,N/A,N/A,"Don't reuse the 7-email sequence as a structure, but there's real usable narrative material in Emails 2, 3, and 4 specifically once separated from the hype-era packaging.","The 6am scene, the runway-taxi metaphor, the ""right things in the right order"" insight, ""it wasn't salary or job title,"" and the choice/agency reframe in Email 4 — all genuinely on-brand once the endings and formatting are fixed.","Build the four track-specific 6-email arcs from Kit_Email_Content_Strategy.md as the actual live sequences, but pull the specific lines flagged above into whichever Come Home to Yourself email needs a real, grounded personal-story beat — don't write a new one from scratch when a true, on-brand one already exists here."
