Track,Content Pillar,Post Idea / Hook,LinkedIn Variation,Instagram Variation,Email / Nurture Reuse,Facebook / Community Reuse,Source Material,Status
Design-Led: Leader,Silent Expert,"""You had the counter-argument ready. You didn't say it.""","Full post drafted — see LinkedIn_Primer_Posts.md, Post 1","Carousel: slide 1 hook line, slide 2 ""not a confidence problem, a pattern,"" slide 3 close question as caption. Person-silhouette icon per style guide.","No live sequence yet (Leader track is capture-only). Would fill the Email 3 'name the trap' slot once built.","Skip — Leader audience is enterprise/LinkedIn-native, not a community-Facebook fit.",LinkedIn_Primer_Posts.md; Leader_Conference_Discovery_Guide.md,Drafted — ready to post
Design-Led: Leader,Great work isn't sufficient,"""She built a design system with 90% adoption. No one thought to ask her into the room.""","Full post drafted — Post 2","Carousel using the parallel-contrast pattern (Pattern 3): before/after quote cards.","Same as above — capture-only track for now.",Skip,LinkedIn_Primer_Posts.md,Drafted — ready to post
Design-Led: Practitioner,Desirability / Viability / Feasibility,"""On time. Under budget. Drop-off got 34% worse.""","Full post drafted — Post 3","Turn the 3-circle Venn (style guide §12) into a graphic; caption asks ""where does your team's strength actually sit?"" as a poll sticker.","Fits Email 3 ('name the trap') once the Practitioner diagnostic sequence builds.",Skip — enterprise audience,LinkedIn_Primer_Posts.md; STYLE_GUIDE.md §12,Drafted — ready to post
Design-Led: Practitioner,Mindsets under pressure,"""Ask which mindset is hardest to practise, and the room goes quiet.""","Full post drafted — Post 4","Carousel: one mindset per slide (6 total), final slide is the close question.",Fits Email 2 ('go one layer deeper').,Skip,LinkedIn_Primer_Posts.md,Drafted — ready to post
Design-Led: Leader,Budget Authority thread,"""Do you shape what gets built next, or find out after it's already decided?""","New post — open with the question verbatim from the Discovery Guide, then unpack Budget Authority as one of the four threads of real influence.","Single quote-card, minimal, mustard underline on ""already decided.""",Email 4 candidate (POV/story) once the Leader sequence builds.,Skip,Leader_Conference_Discovery_Guide.md,Idea
Design-Led: Leader,Roadmap Influence thread,"""Briefed on the strategy, or in the room when it's set?""","New post, parallel-contrast pattern — ""briefed after"" vs ""in the room.""","Two-panel comparison graphic.",Same track note as above.,Skip,Leader_Conference_Discovery_Guide.md,Idea
Design-Led: Leader,Relationship Capital thread,"""If you had to name the one person who sponsors you here, could you?""","New post — the ""fourth thing nobody likes to say out loud"" line from Post 2, expanded into its own post.","Caption-led, no graphic needed — the question carries it.",Email 3 candidate ('name the pattern').,Skip,Leader_Conference_Discovery_Guide.md; LinkedIn_Primer_Posts.md Post 2,Idea
Design-Led: Leader,Service Department Trap,"""Brought in to execute a decision that was already made.""","New post naming the trap directly, inviting readers to self-identify.","Carousel: 3 traps, one per slide (mini-series with the two rows below).",Email 3.,Skip,Leader_Conference_Discovery_Guide.md,Idea
Design-Led: Leader,Feature Factory Manager Trap,"""Measured on velocity, not outcomes.""","New post — second in the 3-trap mini-series.",Same carousel as above — slide 2.,Email 3.,Skip,Leader_Conference_Discovery_Guide.md,Idea
Design-Led: Leader,Capability vs Credibility thesis,"""Build the capability. Earn the credibility. That's the career.""","New flagship post — adapt the manifesto's two-part definition directly; close on the AI-compression 'why now' point.","Carousel: Capability card / Credibility card / ""most advice only addresses one"" card / close.","Strong Email 4 candidate (POV/story, no ask) for whichever Design-Led sequence builds first.",Skip,Design_Led_POV_Manifesto.md,Idea
